index,131_2_www.debian.org,131_3_www.debian.org,131_4_www.debian.org,131_5_www.debian.org,131_6_www.debian.org,131_7_www.debian.org,131_8_www.debian.org,131_9_www.debian.org,131_10_www.debian.org,132_1_www.debian.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-297.48,-396.79999999999995,-282.20000000000005,-297.48,-279.64,-312.76000000000005,-442.64,-289.84000000000003,-249.94,-282.20000000000005
3,1619.28,1580.8,1625.2,1619.28,8.479999999999563,1613.36,1556.2,1622.24,1368.0799999999997,1625.2
4,1354.18,1415.8,1344.7,1354.18,1571.92,1363.66,1444.24,1349.44,1365.1,1344.7
5,1529.96,1246.6000000000001,1515.4,1529.96,1365.24,1544.52,1141.8000000000002,1522.68,1460.04,1515.4
6,2000.5000000000014,4121.0,1723.5,2480.0000000000023,1410.4000000000003,2894.000000000001,4069.4,2273.0000000000027,1205.3,1723.5
7,4088.2799999999997,3798.6000000000004,4069.4,4048.76,1219.16,4026.3599999999997,3599.52,4059.08,633.4799999999998,4069.4
8,3951.16,4020.8,3702.2999999999997,3612.42,688.3600000000005,3591.96,4104.08,3657.36,387.43999999999994,3702.2999999999997
9,3644.3200000000006,4416.799999999999,4020.8,4162.64,563.1600000000003,4114.68,5412.24,4114.56,2454.52,4020.8
10,4120.78,5265.200000000001,4132.7,5051.180000000001,1949.1599999999996,5025.220000000001,5085.32,4238.960000000003,2220.34,4132.7
11,5500.599999999999,4845.0,5311.0,5328.799999999999,2325.0000000000005,5233.599999999999,4411.8,5270.399999999999,3248.399999999997,5354.0
12,5174.46,4448.200000000001,5028.799999999999,5015.719999999999,2266.16,4889.639999999999,5740.519999999998,4972.76,4454.1,5071.799999999999
13,4604.76,6425.8,4361.8,4564.32,3882.879999999999,4576.879999999998,6084.96,4413.56,4400.12,4404.8
14,4280.76,8457.8,4738.800000000002,6072.120000000001,4458.8,6496.84,7946.159999999995,5355.960000000005,4429.420000000001,4781.800000000002
15,6406.96,8555.6,6156.999999999999,8581.360000000002,4374.84,7391.320000000007,8203.12,6119.2,4013.7599999999998,6199.999999999999
16,6255.900000000001,8370.0,8321.5,8523.9,4511.599999999999,8613.300000000001,8411.8,6186.2,4955.099999999999,6177.5
17,8575.24,8576.4,8395.6,8464.6,4030.8399999999997,8632.52,7809.5199999999995,8399.92,4566.199999999999,8438.6
18,8314.02,7660.800000000001,8186.3,8395.02,4180.08,8491.460000000001,11251.800000000007,8241.16,6118.72,8229.300000000001
19,8489.32,10888.599999999988,8361.800000000001,8254.719999999998,3371.7200000000003,8059.84,15832.28,8422.56,5713.679999999999,8404.800000000001
20,8054.06,15917.8,7922.9,7731.259999999998,4719.599999999995,8459.400000000003,15195.079999999998,7809.079999999999,6825.099999999999,8028.900000000001
21,8654.000000000005,15241.0,9463.0,11274.00000000001,6156.5999999999985,13045.000000000004,20644.99999999999,10319.000000000011,10622.599999999995,9506.0
22,11617.900000000007,18686.59999999999,13890.300000000003,15845.420000000011,7572.16,13354.48,24123.2,14818.360000000006,10907.86,13933.300000000003
23,11816.84,24665.599999999995,15696.6,15727.279999999997,7390.320000000001,15282.08,23679.920000000002,15679.72,15177.24,15739.6
24,11644.400000000012,24580.0,15269.400000000003,16002.160000000003,7056.12,17418.480000000003,22793.72,15356.000000000002,15697.76,15230.500000000002
25,15365.28,23984.399999999998,19729.800000000047,24834.68,9444.079999999998,24914.159999999996,22544.52,23241.64000000002,15307.0,15913.000000000002
26,16242.0,23299.0,24237.0,24025.5,11871.0,24089.499999999996,23202.0,24891.0,20167.5,22505.5
27,24790.32,22902.2,23758.4,23708.52,11752.72,23757.239999999998,27187.719999999983,24072.84,24714.72,21716.2
28,23993.46,22466.4,23175.899999999998,22960.46,11520.799999999992,23377.14,30410.6,23778.32,23977.66,21410.6
29,23665.559999999998,24535.0,22866.399999999998,22632.559999999998,12335.880000000001,22669.96,30308.24,23021.52,23741.76,20678.6
30,23368.079999999998,24473.399999999998,22536.100000000002,22454.960000000006,15101.880000000001,22881.520000000015,30161.279999999995,22717.64,23164.74,20365.199999999997
31,22685.8,26697.0,23152.0,24464.0,18534.99999999997,24970.200000000004,34467.6,22388.8,22787.4,20044.0
32,22718.920000000002,26572.6,28584.199999999997,26568.86,23841.920000000002,26131.3,34291.48,25252.519999999997,22558.52,22212.499999999996
33,28253.96000000002,28826.8,28246.200000000008,26664.48,23225.36,30454.32,34136.6,25615.6,24490.08,23004.8
34,30869.3,28671.8,29914.5,26439.98,22715.88,30015.899999999994,34155.12,25732.84,24188.579999999998,23021.600000000002
35,30919.04,30553.999999999993,29860.600000000002,27299.880000000005,22512.68,32345.48,33706.24,27909.2,24341.84,24965.399999999998
36,30146.499999999996,34779.0,32137.0,29736.399999999998,22117.6,34658.799999999996,35729.0,27787.8,28650.39999999998,24725.5
37,32287.6,34060.6,31912.4,29576.16,21798.96,34409.92,35676.88,30093.32,28605.6,26203.60000000002
38,34342.22,33810.8,33609.200000000004,30961.76,21634.24,35069.88000000001,39030.880000000005,31017.119999999995,28708.62,32510.2
39,34462.32,33137.6,34027.0,34694.64,23754.32,35364.84,38312.479999999996,32679.24,28482.8,32316.2
40,34213.340000000004,32383.600000000002,34130.1,34356.86,23478.4,35198.58,37620.48,34082.36,28548.14,33657.50000000001
41,35577.000000000015,35599.0,37569.0,33808.6,26711.799999999985,37618.200000000004,37986.2,34471.40000000001,32816.19999999997,34642.0
42,37833.340000000004,37422.4,36966.7,33453.52,30436.680000000004,38328.58,38386.12,34337.72,34723.920000000006,34254.799999999996
43,36841.56,37206.2,37189.2,33963.80000000001,29912.2,37783.96,38142.520000000004,33838.44000000001,34030.96,33628.6
44,36232.82,37634.6,37157.4,35083.560000000005,29510.079999999998,37598.240000000005,40837.76,37110.67999999999,33681.22,34782.7
45,36811.759999999995,37693.8,36273.200000000004,35298.48,29989.559999999994,39052.76,41184.24,36731.840000000004,33114.76,35392.399999999994
46,36951.70000000001,37814.0,37438.0,35808.30000000002,31833.8,39260.1,45344.2,36352.2,33254.99999999999,35486.0
47,37706.32,41063.0,37603.799999999996,39222.56000000001,31618.76,39089.08,45907.0,36177.520000000004,34957.520000000004,35461.799999999996
48,38563.30000000002,44117.399999999994,39860.5,40323.50000000001,31923.279999999995,39175.5,48117.0,36666.72,36291.04,37718.5
49,39704.0,44404.600000000006,41997.40000000002,42529.56,33954.72,41155.399999999994,48936.0,38230.0,36093.76,39855.40000000002
50,42535.28,44374.799999999996,41950.5,43105.5,33727.44,43065.36,48700.36,42263.84000000002,36661.18,40747.200000000004
